actions,categories,open_issues,pull_requests,stars,category
tim-actions/wip-check,['code-review'],0,2.0,0.0,['code-review']
moneyforward/jshint-action,['code-review'],1,8.0,0.0,['code-review']
moneyforward/goodcheck-action,['code-review'],0,8.0,1.0,['code-review']
moneyforward/querly-action,['code-review'],0,8.0,0.0,['code-review']
moneyforward/reek-action,['code-review'],0,8.0,0.0,['code-review']
treiff/draft-pr-closer,"['code-review', 'open-source-management']",0,14.0,0.0,"['code-review', 'open-source-management']"
tdak1509/set-label-based-on-pr-title,"['project-management', 'code-review']",0,2.0,1.0,"['project-management', 'code-review']"
codespell-project/sort-problem-matcher,"['continuous-integration', 'code-review']",0,0.0,0.0,"['continuous-integration', 'code-review']"
joel-coffman/action-git-diff-check,['code-review'],0,0.0,2.0,['code-review']
gentoo-monero/repoman-action,['code-review'],0,0.0,0.0,['code-review']
ylemkimon/labeler,['code-review'],0,,0.0,['code-review']
polarityio/polarity-integration-development-checklist,"['code-review', 'open-source-management']",0,,0.0,"['code-review', 'open-source-management']"
alvisetrevisan/jira-details-action,"['project-management', 'code-review']",0,,1.0,"['project-management', 'code-review']"
andrewmcodes/bundler-leak-action,"['code-review', 'dependency-management']",0,0.0,0.0,"['code-review', 'dependency-management']"
dunklestoast/eslint-action,"['code-review', 'code-quality']",0,0.0,0.0,"['code-review', 'code-quality']"
ashkumar-wtc/setup-pmd,"['code-review', 'code-quality']",0,,0.0,"['code-review', 'code-quality']"
maskerade/cfn-guard-action,"['continuous-integration', 'code-review']",0,0.0,1.0,"['continuous-integration', 'code-review']"
a-katopodis/banner-checker,"['code-review', 'code-quality']",0,16.0,1.0,"['code-review', 'code-quality']"
quansight/qhub-github-actions,"['continuous-integration', 'code-review']",0,0.0,0.0,"['continuous-integration', 'code-review']"
adcdr/detect-blank-pr-action,"['code-review', 'code-quality']",0,0.0,0.0,"['code-review', 'code-quality']"
wow-rp-addons/actions-editorconfig-check,"['continuous-integration', 'code-review']",0,0.0,0.0,"['continuous-integration', 'code-review']"
nyxssmith/presenttenseargs,"['code-review', 'utilities']",0,0.0,0.0,"['code-review', 'utilities']"
code-name-barcelona/barcelona-action,"['code-review', 'utilities']",0,0.0,0.0,"['code-review', 'utilities']"
pwei1018/bcrs-ci-action,['code-review'],0,2.0,2.0,['code-review']
sixleaveakkm/check-permission,['code-review'],0,2.0,0.0,['code-review']
hexlet/project-action,['code-review'],0,0.0,0.0,['code-review']
bearbobs/open-coverage-action,"['code-review', 'code-quality']",0,0.0,0.0,"['code-review', 'code-quality']"
anaynayak/python-vulture-action,"['code-review', 'code-quality']",1,0.0,1.0,"['code-review', 'code-quality']"
fmenezes/codeowners-action,['code-review'],0,0.0,0.0,['code-review']
reiddraper/prettier-please,"['code-review', 'code-quality']",2,9.0,0.0,"['code-review', 'code-quality']"
motorgarage/phpanalysedog,"['code-review', 'code-quality']",0,0.0,0.0,"['code-review', 'code-quality']"
tdak1509/label-pr-based-on-files-changed,"['code-review', 'monitoring']",0,0.0,0.0,"['code-review', 'monitoring']"
lrivallain/vro-package-diff-action,"['code-review', 'container-ci']",0,0.0,0.0,"['code-review', 'container-ci']"
hi-rustin/ti-community-rebase,"['code-review', 'utilities']",0,0.0,0.0,"['code-review', 'utilities']"
hopin-team/action-reek,"['code-review', 'code-quality']",0,,0.0,"['code-review', 'code-quality']"
randhirmsingh/iosscreenshots,"['code-review', 'code-quality']",0,0.0,0.0,"['code-review', 'code-quality']"
dwp/aws-terraform-tag-check,"['code-review', 'testing']",0,0.0,0.0,"['code-review', 'testing']"
delsinvg/check-robots.txt-action,['code-review'],0,0.0,2.0,['code-review']
delsinvg/check-favicon-action,['code-review'],0,0.0,0.0,['code-review']
valentinvignal/action-json-keys,"['code-review', 'code-quality']",0,0.0,0.0,"['code-review', 'code-quality']"
vhoyer/comment-test-coverage,['code-review'],0,,0.0,['code-review']
danieljimeneznz/ensure-files-changed,"['code-review', 'code-quality']",0,,2.0,"['code-review', 'code-quality']"
jaeseokim/norminette-action,"['code-review', 'code-quality']",0,,0.0,"['code-review', 'code-quality']"
delsinvg/check-mobile-friendly-action,['code-review'],0,0.0,0.0,['code-review']
delsinvg/check-hreflang-action,['code-review'],0,0.0,0.0,['code-review']
augustjon/feedbackcheck-action,"['code-review', 'support']",0,0.0,0.0,"['code-review', 'support']"
standardnotes/brakeman-action,"['security', 'code-review']",1,0.0,3.0,"['security', 'code-review']"
embano1/wip,"['continuous-integration', 'code-review']",0,0.0,0.0,"['continuous-integration', 'code-review']"
amitmiran137/doc-validator-action,['code-review'],0,1.0,0.0,['code-review']
troubleshoot-codacy/codacy-analysis-cli-action,['code-review'],0,,0.0,['code-review']
morgangeek/pr-lint-action,"['continuous-integration', 'code-review']",0,,0.0,"['continuous-integration', 'code-review']"
morgangeek/conform,"['continuous-integration', 'code-review']",0,,0.0,"['continuous-integration', 'code-review']"
jeffreygarrett/branch-gh-action,['code-review'],0,0.0,1.0,['code-review']
